Name	taxID	speciesTaxID	assembly_level	seq_rel_date	asm_name	FileName	DownLoadDate	NumberTotalContigs	NumberKeptContigs	NumberRemovedContigs
Buchnera aphidicola str. USDA (Myzus persicae) strain_USDA	1009856	9	COMPLETE	2014/01/22	ASM52152v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. USDA (Myzus persicae) strain_USDA_ASM52152v1.fna.gz	2019-05-20T15:17:25.312966+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola str. W106 (Myzus persicae) strain_W106	1009857	9	COMPLETE	2014/01/22	ASM52154v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. W106 (Myzus persicae) strain_W106_ASM52154v1.fna.gz	2019-05-20T15:17:27.454085+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola str. G002 (Myzus persicae) strain_G002	1009858	9	COMPLETE	2014/01/22	ASM52156v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. G002 (Myzus persicae) strain_G002_ASM52156v1.fna.gz	2019-05-20T15:17:29.789599+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola str. F009 (Myzus persicae) strain_F009	1009859	9	COMPLETE	2014/01/22	ASM52158v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola str. F009 (Myzus persicae) strain_F009_ASM52158v1.fna.gz	2019-05-20T15:17:31.960005+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola (Aphis glycines) strain_BAg	1265350	9	COMPLETE	2015/09/08	ASM128022v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola (Aphis glycines) strain_BAg_ASM128022v1.fna.gz	2019-05-20T15:17:34.144203+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola (Schlechtendalia chinensis) strain_SC	118110	9	COMPLETE	2016/05/18	ASM164811v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola (Schlechtendalia chinensis) strain_SC_ASM164811v1.fna.gz	2019-05-20T15:17:36.308408+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola (Diuraphis noxia) 	118101	9	COMPLETE	2016/08/09	ASM170089v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola (Diuraphis noxia) _ASM170089v1.fna.gz	2019-05-20T15:17:38.487383+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola (Schizaphis graminum) 	98794	9	COMPLETE	2018/05/09	ASM309997v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola (Schizaphis graminum) _ASM309997v1.fna.gz	2019-05-20T15:17:40.624014+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola (Tuberolachnus salignus) strain_BTs	98804	9	COMPLETE	2016/05/05	BTsPazieg1.0	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola (Tuberolachnus salignus) strain_BTs_BTsPazieg1.0.fna.gz	2019-05-20T15:17:42.790195+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola (Cinara pseudotaxifoliae) strain_BCipseudotaxifoliae	655384	9	COMPLETE	2016/11/25	BCipseudotaxifoliae_v1.0	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola (Cinara pseudotaxifoliae) strain_BCipseudotaxifoliae_BCipseudotaxifoliae_v1.0.fna.gz	2019-05-20T15:17:44.947727+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola strain_BCifornacula	9	9	COMPLETE	2016/11/25	BCifornacula_v1.0	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola strain_BCifornacula_BCifornacula_v1.0.fna.gz	2019-05-20T15:17:47.095311+02:00[Europe/Berlin]	0	0	0
Buchnera aphidicola (Cinara confinis) strain_BCiconfinis	1878935	9	COMPLETE	2016/11/25	BCiconfinis_v1.0	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Buchnera aphidicola (Cinara confinis) strain_BCiconfinis_BCiconfinis_v1.0.fna.gz	2019-05-20T15:17:49.249387+02:00[Europe/Berlin]	0	0	0
Cellulomonas gilvus ATCC 13127 strain_ATCC 13127	593907	11	COMPLETE	2011/06/15	ASM21854v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Cellulomonas gilvus ATCC 13127 strain_ATCC 13127_ASM21854v1.fna.gz	2019-05-20T15:17:51.833365+02:00[Europe/Berlin]	0	0	0
Dictyoglomus thermophilum H-6-12 strain_H-6-12; ATCC 35947	309799	14	COMPLETE	2008/09/26	ASM2096v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Dictyoglomus thermophilum H-6-12 strain_H-6-12; ATCC 35947_ASM2096v1.fna.gz	2019-05-20T15:17:54.192810+02:00[Europe/Berlin]	0	0	0
Pelobacter carbinolicus DSM 2380 strain_DSM 2380	338963	19	COMPLETE	2006/03/30	ASM1288v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Pelobacter carbinolicus DSM 2380 strain_DSM 2380_ASM1288v1.fna.gz	2019-05-20T15:17:56.666654+02:00[Europe/Berlin]	0	0	0
Shewanella putrefaciens CN-32 strain_CN-32	319224	24	COMPLETE	2007/04/20	ASM1658v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Shewanella putrefaciens CN-32 strain_CN-32_ASM1658v1.fna.gz	2019-05-20T15:17:59.230418+02:00[Europe/Berlin]	0	0	0
Shewanella putrefaciens 200 strain_200	399804	24	COMPLETE	2011/01/18	ASM16921v2	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Shewanella putrefaciens 200 strain_200_ASM16921v2.fna.gz	2019-05-20T15:18:01.848637+02:00[Europe/Berlin]	0	0	0
Shewanella putrefaciens strain_WS13	24	24	COMPLETE	2018/04/08	ASM304425v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Shewanella putrefaciens strain_WS13_ASM304425v1.fna.gz	2019-05-20T15:18:04.319569+02:00[Europe/Berlin]	0	0	0
Shewanella putrefaciens strain_NCTC12093	24	24	COMPLETE	2018/12/20	43781_G01	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Shewanella putrefaciens strain_NCTC12093_43781_G01.fna.gz	2019-05-20T15:18:06.785170+02:00[Europe/Berlin]	0	0	0
Shewanella putrefaciens strain_NCTC10737	24	24	COMPLETE	2018/12/20	44858_H01	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Shewanella putrefaciens strain_NCTC10737_44858_H01.fna.gz	2019-05-20T15:18:09.593444+02:00[Europe/Berlin]	0	0	0
Myxococcus fulvus 124B02 strain_124B02	1334629	33	COMPLETE	2015/05/06	ASM98856v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Myxococcus fulvus 124B02 strain_124B02_ASM98856v1.fna.gz	2019-05-20T15:18:12.462893+02:00[Europe/Berlin]	0	0	0
Myxococcus xanthus DK 1622 strain_DK 1622	246197	34	COMPLETE	2006/06/07	ASM1268v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Myxococcus xanthus DK 1622 strain_DK 1622_ASM1268v1.fna.gz	2019-05-20T15:18:15.399307+02:00[Europe/Berlin]	0	0	0
Myxococcus macrosporus strain_HW-1	35	35	COMPLETE	2011/06/22	ASM21910v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Myxococcus macrosporus strain_HW-1_ASM21910v1.fna.gz	2019-05-20T15:18:18.009746+02:00[Europe/Berlin]	0	0	0
Myxococcus macrosporus DSM 14697 strain_DSM 14697	1189310	35	COMPLETE	2017/09/15	ASM230589v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Myxococcus macrosporus DSM 14697 strain_DSM 14697_ASM230589v1.fna.gz	2019-05-20T15:18:21.195615+02:00[Europe/Berlin]	0	0	0
Stigmatella aurantiaca DW4_3-1 strain_DW4_3-1	378806	41	COMPLETE	2010/10/21	ASM16548v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Stigmatella aurantiaca DW4_3-1 strain_DW4_3-1_ASM16548v1.fna.gz	2019-05-20T15:18:23.950412+02:00[Europe/Berlin]	0	0	0
Cystobacter fuscus strain_DSM 52655	43	43	COMPLETE	2017/09/15	ASM230587v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Cystobacter fuscus strain_DSM 52655_ASM230587v1.fna.gz	2019-05-20T15:18:27.162910+02:00[Europe/Berlin]	0	0	0
Archangium gephyra strain_DSM 2261	48	48	COMPLETE	2015/06/03	ASM102728v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Archangium gephyra strain_DSM 2261_ASM102728v1.fna.gz	2019-05-20T15:18:29.802537+02:00[Europe/Berlin]	0	0	0
Chondromyces crocatus strain_Cm c5	52	52	COMPLETE	2015/07/30	ASM118929v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Chondromyces crocatus strain_Cm c5_ASM118929v1.fna.gz	2019-05-20T15:18:32.400692+02:00[Europe/Berlin]	0	0	0
Sorangium cellulosum So ce56 strain_So ce 56	448385	56	COMPLETE	2007/11/27	ASM6716v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Sorangium cellulosum So ce56 strain_So ce 56_ASM6716v1.fna.gz	2019-05-20T15:18:35.069069+02:00[Europe/Berlin]	0	0	0
Sorangium cellulosum So0157-2 strain_So0157-2	1254432	56	COMPLETE	2013/07/05	ASM41832v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Sorangium cellulosum So0157-2 strain_So0157-2_ASM41832v1.fna.gz	2019-05-20T15:18:37.847357+02:00[Europe/Berlin]	0	0	0
Sorangium cellulosum strain_So ce26	56	56	COMPLETE	2018/02/02	ASM295094v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Sorangium cellulosum strain_So ce26_ASM295094v1.fna.gz	2019-05-20T15:18:40.561648+02:00[Europe/Berlin]	0	0	0
Sorangium cellulosum strain_So ceGT47	56	56	COMPLETE	2019/02/04	ASM413573v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Sorangium cellulosum strain_So ceGT47_ASM413573v1.fna.gz	2019-05-20T15:18:43.155142+02:00[Europe/Berlin]	0	0	0
Sorangium cellulosum strain_So ce836	56	56	COMPLETE	2019/02/04	ASM413575v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Sorangium cellulosum strain_So ce836_ASM413575v1.fna.gz	2019-05-20T15:18:45.826943+02:00[Europe/Berlin]	0	0	0
Vitreoscilla filiformis strain_ATCC 15551	63	63	COMPLETE	2017/07/20	ASM222265v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Vitreoscilla filiformis strain_ATCC 15551_ASM222265v1.fna.gz	2019-05-20T15:18:48.299167+02:00[Europe/Berlin]	0	0	0
Lysobacter enzymogenes strain_M497-1	69	69	COMPLETE	2016/11/25	ASM235597v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Lysobacter enzymogenes strain_M497-1_ASM235597v1.fna.gz	2019-05-20T15:18:50.801333+02:00[Europe/Berlin]	0	0	0
Simonsiella muelleri ATCC 29453 strain_ATCC 29453	641147	72	COMPLETE	2018/02/02	ASM295183v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Simonsiella muelleri ATCC 29453 strain_ATCC 29453_ASM295183v1.fna.gz	2019-05-20T15:18:53.169241+02:00[Europe/Berlin]	0	0	0
Cyclobacterium marinum DSM 745 strain_DSM 745	880070	104	COMPLETE	2011/08/03	ASM22248v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Cyclobacterium marinum DSM 745 strain_DSM 745_ASM22248v1.fna.gz	2019-05-20T15:18:55.877392+02:00[Europe/Berlin]	0	0	0
Gemmata obscuriglobus strain_DSM 5831	114	114	COMPLETE	2018/05/23	ASM314949v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Gemmata obscuriglobus strain_DSM 5831_ASM314949v1.fna.gz	2019-05-20T15:18:58.495035+02:00[Europe/Berlin]	0	0	0
Rubinisphaera brasiliensis DSM 5305 strain_DSM 5305	756272	119	COMPLETE	2011/03/01	ASM16571v3	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Rubinisphaera brasiliensis DSM 5305 strain_DSM 5305_ASM16571v3.fna.gz	2019-05-20T15:19:01.157025+02:00[Europe/Berlin]	0	0	0
Planctopirus limnophila DSM 3776 strain_DSM 3776	521674	120	COMPLETE	2010/05/13	ASM9210v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Planctopirus limnophila DSM 3776 strain_DSM 3776_ASM9210v1.fna.gz	2019-05-20T15:19:03.628204+02:00[Europe/Berlin]	0	0	0
Pirellula staleyi DSM 6068 strain_DSM 6068	530564	125	COMPLETE	2010/01/07	ASM2518v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Pirellula staleyi DSM 6068 strain_DSM 6068_ASM2518v1.fna.gz	2019-05-20T15:19:06.210064+02:00[Europe/Berlin]	0	0	0
Isosphaera pallida ATCC 43644 strain_ATCC 43644	575540	128	COMPLETE	2011/01/20	ASM18634v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Isosphaera pallida ATCC 43644 strain_ATCC 43644_ASM18634v1.fna.gz	2019-05-20T15:19:08.727255+02:00[Europe/Berlin]	0	0	0
Borreliella burgdorferi B31 strain_B31	224326	139	COMPLETE	2011/11/09	ASM868v2	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borreliella burgdorferi B31 strain_B31_ASM868v2.fna.gz	2019-05-20T15:19:11.048347+02:00[Europe/Berlin]	0	0	0
Borreliella burgdorferi ZS7 strain_ZS7	445985	139	COMPLETE	2008/12/17	ASM2140v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borreliella burgdorferi ZS7 strain_ZS7_ASM2140v1.fna.gz	2019-05-20T15:19:13.318441+02:00[Europe/Berlin]	0	0	0
Borreliella burgdorferi N40 strain_N40	521007	139	COMPLETE	2010/11/16	ASM16663v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borreliella burgdorferi N40 strain_N40_ASM16663v1.fna.gz	2019-05-20T15:19:15.585104+02:00[Europe/Berlin]	0	0	0
Borreliella burgdorferi JD1 strain_JD1	521008	139	COMPLETE	2010/11/16	ASM16665v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borreliella burgdorferi JD1 strain_JD1_ASM16665v1.fna.gz	2019-05-20T15:19:17.855321+02:00[Europe/Berlin]	0	0	0
Borreliella burgdorferi CA382 strain_CA382	1328311	139	COMPLETE	2013/08/06	ASM44446v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borreliella burgdorferi CA382 strain_CA382_ASM44446v1.fna.gz	2019-05-20T15:19:20.122777+02:00[Europe/Berlin]	0	0	0
Borreliella burgdorferi strain_PAli	139	139	COMPLETE	2017/05/19	ASM215146v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borreliella burgdorferi strain_PAli_ASM215146v1.fna.gz	2019-05-20T15:19:22.378684+02:00[Europe/Berlin]	0	0	0
Borreliella burgdorferi strain_PAbe	139	139	COMPLETE	2017/05/19	ASM215148v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borreliella burgdorferi strain_PAbe_ASM215148v1.fna.gz	2019-05-20T15:19:24.655391+02:00[Europe/Berlin]	0	0	0
Borreliella burgdorferi strain_B31_NRZ	139	139	COMPLETE	2017/05/19	ASM215150v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borreliella burgdorferi strain_B31_NRZ_ASM215150v1.fna.gz	2019-05-20T15:19:27.162667+02:00[Europe/Berlin]	0	0	0
Borreliella burgdorferi strain_B331	139	139	COMPLETE	2017/10/04	ASM244259v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borreliella burgdorferi strain_B331_ASM244259v1.fna.gz	2019-05-20T15:19:29.414752+02:00[Europe/Berlin]	0	0	0
Borreliella burgdorferi strain_MM1	139	139	COMPLETE	2018/08/08	ASM336729v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borreliella burgdorferi strain_MM1_ASM336729v1.fna.gz	2019-05-20T15:19:31.671742+02:00[Europe/Berlin]	0	0	0
Borrelia hermsii CC1 strain_CC1	1329908	140	COMPLETE	2015/03/19	ASM95631v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borrelia hermsii CC1 strain_CC1_ASM95631v1.fna.gz	2019-05-20T15:19:33.943841+02:00[Europe/Berlin]	0	0	0
Borrelia hermsii HS1 strain_HS1	1867252	140	COMPLETE	2016/04/22	ASM166000v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borrelia hermsii HS1 strain_HS1_ASM166000v1.fna.gz	2019-05-20T15:19:36.207804+02:00[Europe/Berlin]	0	0	0
Borrelia parkeri HR1 strain_HR1	1435045	141	COMPLETE	2014/01/07	ASM51214v2	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borrelia parkeri HR1 strain_HR1_ASM51214v2.fna.gz	2019-05-20T15:19:38.462744+02:00[Europe/Berlin]	0	0	0
Borrelia turicatae 91E135 strain_91E135	314724	142	COMPLETE	2017/07/05	ASM1208v2	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borrelia turicatae 91E135 strain_91E135_ASM1208v2.fna.gz	2019-05-20T15:19:40.717084+02:00[Europe/Berlin]	0	0	0
Borrelia turicatae strain_BTE5EL	142	142	COMPLETE	2016/05/19	ASM356864v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borrelia turicatae strain_BTE5EL_ASM356864v1.fna.gz	2019-05-20T15:19:42.981247+02:00[Europe/Berlin]	0	0	0
Borrelia anserina Es strain_Es	1365188	143	COMPLETE	2017/01/05	ASM193625v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Borrelia anserina Es strain_Es_ASM193625v1.fna.gz	2019-05-20T15:19:45.224783+02:00[Europe/Berlin]	0	0	0
Spirochaeta thermophila DSM 6192 strain_DSM 6192	665571	154	COMPLETE	2010/09/10	ASM14707v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Spirochaeta thermophila DSM 6192 strain_DSM 6192_ASM14707v1.fna.gz	2019-05-20T15:19:47.675260+02:00[Europe/Berlin]	0	0	0
Spirochaeta thermophila DSM 6578 strain_DSM 6578	869211	154	COMPLETE	2011/07/06	ASM18434v2	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Spirochaeta thermophila DSM 6578 strain_DSM 6578_ASM18434v2.fna.gz	2019-05-20T15:19:50.082694+02:00[Europe/Berlin]	0	0	0
Treponema denticola ATCC 35405 strain_ATCC 35405	243275	158	COMPLETE	2004/02/03	ASM818v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Treponema denticola ATCC 35405 strain_ATCC 35405_ASM818v1.fna.gz	2019-05-20T15:19:52.774995+02:00[Europe/Berlin]	0	0	0
Brachyspira hyodysenteriae WA1 strain_WA1; ATCC 49526	565034	159	COMPLETE	2009/03/18	ASM2210v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Brachyspira hyodysenteriae WA1 strain_WA1; ATCC 49526_ASM2210v1.fna.gz	2019-05-20T15:19:55.152747+02:00[Europe/Berlin]	0	0	0
Brachyspira hyodysenteriae ATCC 27164 strain_B-78	1266923	159	COMPLETE	2016/09/30	ASM167678v2	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Brachyspira hyodysenteriae ATCC 27164 strain_B-78_ASM167678v2.fna.gz	2019-05-20T15:19:57.640807+02:00[Europe/Berlin]	0	0	0
Brachyspira hyodysenteriae strain_BH718	159	159	COMPLETE	2018/01/03	ASM285023v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Brachyspira hyodysenteriae strain_BH718_ASM285023v1.fna.gz	2019-05-20T15:20:00.023808+02:00[Europe/Berlin]	0	0	0
Treponema pallidum subsp. pallidum str. Sea 81-4 strain_Sea 81-4	1095955	160	COMPLETE	2014/03/28	ASM60412v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Treponema pallidum subsp. pallidum str. Sea 81-4 strain_Sea 81-4_ASM60412v1.fna.gz	2019-05-20T15:20:02.289527+02:00[Europe/Berlin]	0	0	0
Treponema succinifaciens DSM 2489 strain_DSM 2489	869209	167	COMPLETE	2011/04/07	ASM19527v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Treponema succinifaciens DSM 2489 strain_DSM 2489_ASM19527v1.fna.gz	2019-05-20T15:20:04.640363+02:00[Europe/Berlin]	0	0	0
Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)' strain_Patoc 1 (Ames)	355278	172	COMPLETE	2008/02/13	ASM1760v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)' strain_Patoc 1 (Ames)_ASM1760v1.fna.gz	2019-05-20T15:20:07.276744+02:00[Europe/Berlin]	0	0	0
Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)' strain_Patoc 1 (Paris)	456481	172	COMPLETE	2008/02/13	ASM1768v1	/projects1/users/huebler/database_analysis_pipeline/test_bacteria_download2/bacteria/Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)' strain_Patoc 1 (Paris)_ASM1768v1.fna.gz	2019-05-20T15:20:09.781865+02:00[Europe/Berlin]	0	0	0
